1.17  0.134  0.12  159.3 	  27.7 	  22.3  8.2 	  49.3 	  33.2  88.4 	  104.2 	  126.4
1.17  0.134  0.17  144.7 	  18.0 	  16.2  2.2 	  26.4 	  20.2  -4.3 	  73.1 	  189.0
1.17  0.134  0.25  117.3 	  10.3 	  10.7  -22.0 	  14.9 	  9.9  -71.6 	  40.2 	  29.1
1.17  0.134  0.35  94.0 	  8.8 	  3.6  -1.3 	  12.7 	  4.2  -29.7 	  35.7 	  9.0
1.17  0.134  0.50  51.1 	  4.3 	  5.9  1.8 	  6.0 	  4.4  -34.1 	  18.2 	  10.0
1.17  0.134  0.80  36.3 	  2.5 	  1.6  1.1 	  3.0 	  5.6  -40.6 	  9.5 	  13.3
1.17  0.134  1.25  16.2 	  1.7 	  1.8  -1.2 	  2.3 	  3.0  -13.7 	  6.2 	  5.0
1.39  0.170  0.12  134.1 	  15.5 	  21.7  26.2 	  19.8 	  14.2  15.2 	  52.7 	  27.5
1.39  0.170  0.17  156.4 	  18.2 	  21.9  -18.1 	  23.3 	  28.7  -0.4 	  56.5 	  8.0
1.39  0.170  0.25  101.8 	  8.0 	  7.9  10.6 	  10.0 	  6.4  -22.9 	  25.1 	  26.2
1.39  0.170  0.35  104.6 	  8.0 	  6.3  7.6 	  9.3 	  9.2  -80.1 	  25.3 	  15.4
1.39  0.170  0.50  65.3 	  4.5 	  2.7  4.3 	  5.0 	  3.1  -64.3 	  14.9 	  16.7
1.39  0.170  0.80  39.0 	  2.4 	  2.6  5.7 	  2.8 	  3.3  -11.9 	  8.0 	  4.5
1.39  0.170  1.25  16.9 	  1.5 	  2.1  -1.7 	  1.9 	  1.1  -6.0 	  5.2 	  2.9
1.62  0.187  0.25  117.1 	  14.6 	  11.6  -6.0 	  22.0 	  13.4  11.3 	  54.6 	  32.0
1.62  0.187  0.35  98.4 	  13.2 	  9.0  -20.3 	  20.4 	  6.8  -22.0 	  48.6 	  49.5
1.62  0.187  0.50  71.0 	  7.6 	  3.6  -5.7 	  10.7 	  6.9  -22.7 	  30.7 	  37.5
1.62  0.187  0.80  38.5 	  3.3 	  1.7  -4.3 	  4.4 	  2.1  -43.0 	  12.4 	  8.7
1.62  0.187  1.25  18.3 	  2.7 	  2.2  -1.2 	  3.8 	  1.6  -15.9 	  11.5 	  5.8
1.77  0.224  0.18  93.3 	  11.4 	  12.0  16.9 	  14.7 	  11.9  22.1 	  33.7 	  29.9
1.77  0.224  0.25  96.4 	  6.4 	  6.7  23.9 	  7.2 	  6.1  -30.0 	  20.0 	  14.9
1.77  0.224  0.35  105.0 	  6.6 	  4.1  7.7 	  7.0 	  6.1  -60.1 	  19.3 	  13.5
1.77  0.224  0.50  77.9 	  4.0 	  4.2  2.8 	  4.4 	  3.3  -25.4 	  11.7 	  17.3
1.77  0.224  0.80  46.9 	  2.2 	  3.2  2.1 	  2.4 	  2.1  -15.5 	  6.5 	  6.6
1.77  0.224  1.25  24.5 	  1.5 	  1.8  3.0 	  1.5 	  1.8  -22.5 	  4.2 	  2.7
1.77  0.224  1.75  12.9 	  1.7 	  1.5  -0.9 	  2.1 	  1.8  -0.5 	  4.9 	  4.5
1.88  0.271  0.25  137.5 	  13.8 	  27.9  27.4 	  15.4 	  19.3  62.5 	  33.0 	  46.8
1.88  0.272  0.35  125.9 	  13.3 	  11.5  18.9 	  15.3 	  14.7  -1.1 	  31.3 	  78.2
1.88  0.271  0.50  104.0 	  7.1 	  3.7  6.5 	  6.7 	  6.4  -34.3 	  17.2 	  31.1
1.88  0.272  0.80  81.9 	  4.7 	  5.1  -2.3 	  4.0 	  3.0  -60.5 	  10.5 	  10.5
1.88  0.272  1.25  43.6 	  3.4 	  5.6  -4.0 	  3.4 	  4.4  -23.2 	  7.8 	  7.0
1.95  0.313  1.25  100.9 	  18.2 	  10.3  6.9 	  18.6 	  18.9  9.5 	  38.4 	  34.7
2.11  0.238  0.50  121.5 	  21.1 	  10.5  -42.3 	  29.7 	  8.6  -96.2 	  78.9 	  16.2
2.11  0.238  0.80  55.8 	  10.6 	  6.6  -14.2 	  18.4 	  4.0  -1.4 	  41.5 	  83.4
2.24  0.276  0.25  97.0 	  11.6 	  10.9  -1.0 	  16.7 	  20.1  2.0 	  34.5 	  24.7
2.24  0.276  0.35  80.8 	  9.3 	  5.8  -2.0 	  12.9 	  4.7  15.4 	  29.5 	  15.8
2.24  0.276  0.50  62.5 	  5.3 	  7.3  -7.8 	  7.1 	  5.3  -5.3 	  18.0 	  25.0
2.24  0.276  0.80  44.1 	  2.8 	  2.3  3.4 	  3.3 	  2.1  -25.0 	  9.1 	  4.7
2.24  0.276  1.25  24.2 	  2.1 	  2.4  -1.5 	  2.8 	  2.3  -17.4 	  6.4 	  4.3
2.24  0.276  1.75  14.7 	  2.1 	  2.4  -1.3 	  2.5 	  2.5  -9.8 	  6.0 	  5.7
2.26  0.335  0.25  142.4 	  31.9 	  41.2  -35.5 	  35.4 	  49.9  61.6 	  53.2 	  72.7
2.26  0.338  0.35  116.8 	  11.7 	  7.0  -7.9 	  13.2 	  12.2  6.4 	  26.3 	  40.2
2.26  0.338  0.50  137.8 	  6.7 	  7.7  -1.9 	  7.1 	  6.4  -38.1 	  15.6 	  4.2
2.26  0.338  0.80  88.8 	  3.6 	  3.8  8.1 	  3.3 	  3.8  -49.6 	  7.9 	  6.7
2.26  0.338  1.25  51.2 	  2.7 	  5.5  3.1 	  2.8 	  6.5  -16.4 	  6.1 	  10.6
2.26  0.338  1.75  28.5 	  2.9 	  4.4  -11.4 	  3.1 	  6.0  13.7 	  5.1 	  4.6
2.35  0.404  0.50  215.1 	  34.0 	  19.6  -38.8 	  37.4 	  28.9  -48.3 	  54.3 	  40.4
2.35  0.404  0.80  165.5 	  14.6 	  19.4  -26.8 	  15.1 	  16.1  6.5 	  27.5 	  16.3
2.35  0.404  1.25  114.4 	  12.1 	  20.4  -9.7 	  12.9 	  17.9  -29.9 	  21.1 	  24.1
2.35  0.404  1.75  84.0 	  24.7 	  55.2  1.4 	  27.9 	  76.6  -12.0 	  38.4 	  100.8
2.73  0.343  0.35  94.2 	  20.7 	  14.9  -28.5 	  29.4 	  16.0  46.0 	  48.7 	  29.3
2.73  0.343  0.50  79.1 	  6.1 	  3.2  -3.8 	  8.3 	  6.9  18.8 	  19.3 	  15.1
2.73  0.343  0.80  58.9 	  3.4 	  2.3  12.5 	  4.3 	  4.4  -8.5 	  10.7 	  5.5
2.73  0.343  1.25  28.6 	  2.4 	  2.9  -0.2 	  3.2 	  1.2  -4.2 	  7.2 	  9.8
2.73  0.343  1.75  18.7 	  2.2 	  2.7  -4.8 	  3.0 	  2.4  2.5 	  6.0 	  9.8
2.77  0.424  0.50  164.4 	  20.7 	  21.0  -53.5 	  23.4 	  25.3  26.9 	  36.6 	  33.4
2.77  0.424  0.80  100.9 	  7.5 	  11.5  12.2 	  8.4 	  13.3  -17.2 	  16.9 	  22.4
2.77  0.424  1.25  67.8 	  5.5 	  7.4  7.9 	  6.4 	  6.1  -29.8 	  12.6 	  13.7
2.77  0.424  1.75  45.3 	  6.3 	  6.9  -4.4 	  7.6 	  10.3  9.2 	  11.8 	  17.6
3.25  0.430  0.50  108.4 	  20.7 	  14.8  -22.2 	  27.1 	  17.5  21.1 	  42.7 	  23.3
3.25  0.431  0.80  62.2 	  5.3 	  4.7  9.8 	  7.0 	  4.7  -23.3 	  14.8 	  11.9
3.25  0.431  1.25  47.1 	  4.2 	  3.9  -3.6 	  5.5 	  8.6  -0.6 	  11.8 	  136.3
3.25  0.431  1.75  30.6 	  4.9 	  3.5  -7.3 	  6.9 	  4.5  6.3 	  11.7 	  13.2
3.30  0.497  1.75  128.6 	  38.4 	  35.0  -6.8 	  42.0 	  19.6  17.4 	  77.0 	  52.1
3.69  0.451  0.80  68.1 	  11.7 	  5.9  -12.1 	  18.2 	  5.5  6.9 	  47.2 	  25.2
3.77  0.513  0.80  71.4 	  43.1 	  10.8  15.2 	  57.8 	  25.4  -38.8 	  76.2 	  30.0
3.77  0.514  1.25  56.5 	  14.3 	  7.3  11.5 	  20.2 	  11.1  -29.6 	  34.9 	  22.9
3.77  0.513  1.75  57.2 	  17.6 	  9.1  -3.4 	  23.9 	  8.8  -17.4 	  34.3 	  16.0
4.24  0.540  1.25  100.7 	  30.2 	  12.7  -46.3 	  44.9 	  15.4  48.5 	  72.4 	  20.6

